LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2020 00:34:00,97.00,3157.00,1765.00,540.00,265.00,177.00,203.00,131.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2020 01:35:00,95.00,3167.00,1753.00,536.00,259.00,177.00,204.00,131.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 02:35:00,98.00,3161.00,1754.00,538.00,259.00,175.00,210.00,129.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 03:35:00,99.00,3173.00,1772.00,547.00,259.00,177.00,217.00,124.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 04:35:00,100.00,3185.00,1771.00,542.00,261.00,176.00,217.00,126.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 05:36:00,98.00,3179.00,1769.00,548.00,262.00,177.00,217.00,122.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2020 06:36:00,97.00,3208.00,1807.00,556.00,265.00,178.00,222.00,124.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 07:36:00,99.00,3204.00,1790.00,557.00,265.00,179.00,226.00,120.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 08:36:00,98.00,3180.00,1754.00,552.00,260.00,175.00,221.00,116.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 09:36:00,100.00,3198.00,1764.00,552.00,259.00,174.00,227.00,114.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 10:37:00,100.00,3193.00,1773.00,557.00,262.00,173.00,223.00,115.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 11:37:00,99.00,3189.00,1758.00,542.00,259.00,177.00,228.00,115.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 12:37:00,103.00,3197.00,1762.00,555.00,260.00,180.00,224.00,116.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 13:37:00,100.00,3202.00,1783.00,553.00,261.00,175.00,230.00,114.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 14:38:00,99.00,3185.00,1785.00,558.00,262.00,176.00,231.00,114.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 15:38:00,99.00,3235.00,1799.00,567.00,262.00,178.00,234.00,117.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 16:38:00,102.00,3240.00,1832.00,574.00,267.00,179.00,236.00,121.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 17:38:00,104.00,3263.00,1857.00,579.00,277.00,184.00,229.00,131.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 18:39:00,101.00,3263.00,1857.00,574.00,275.00,178.00,224.00,134.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2020 19:39:00,99.00,3210.00,1813.00,560.00,270.00,181.00,216.00,133.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 20:39:00,101.00,3191.00,1790.00,550.00,267.00,179.00,208.00,135.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2020 21:39:00,99.00,3201.00,1798.00,542.00,267.00,178.00,210.00,135.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 22:39:00,100.00,3221.00,1816.00,555.00,273.00,178.00,213.00,134.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2020 23:40:00,96.00,3230.00,1829.00,558.00,270.00,180.00,216.00,134.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 00:40:00,100.00,3227.00,1826.00,562.00,269.00,181.00,215.00,136.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 01:40:00,101.00,3231.00,1816.00,556.00,270.00,181.00,215.00,131.00,61.00,APPROVED
CA: SAN DIEGO,01/02/2020 02:40:00,96.00,3238.00,1806.00,564.00,267.00,178.00,221.00,127.00,60.00,APPROVED
CA: SAN DIEGO,01/02/2020 03:41:00,99.00,3218.00,1812.00,557.00,268.00,177.00,221.00,127.00,61.00,APPROVED
CA: SAN DIEGO,01/02/2020 04:41:00,99.00,3248.00,1812.00,557.00,265.00,178.00,222.00,124.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 05:41:00,102.00,3240.00,1812.00,563.00,268.00,178.00,224.00,127.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 06:41:00,102.00,3243.00,1829.00,571.00,270.00,180.00,227.00,123.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 07:41:00,101.00,3257.00,1831.00,569.00,272.00,182.00,229.00,125.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 08:42:00,102.00,3245.00,1832.00,582.00,271.00,179.00,233.00,121.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2020 09:42:00,99.00,3266.00,1847.00,584.00,271.00,180.00,233.00,125.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 10:42:00,103.00,3279.00,1861.00,584.00,271.00,188.00,239.00,121.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 11:42:00,106.00,3297.00,1864.00,588.00,279.00,183.00,240.00,123.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 12:43:00,99.00,3288.00,1887.00,591.00,277.00,185.00,243.00,124.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 13:43:00,102.00,3299.00,1889.00,597.00,281.00,188.00,246.00,123.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 14:43:00,102.00,3311.00,1910.00,610.00,279.00,187.00,252.00,126.00,65.00,APPROVED
CA: SAN DIEGO,01/02/2020 15:43:00,101.00,3320.00,1921.00,613.00,281.00,186.00,245.00,125.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 16:44:00,107.00,3325.00,1899.00,596.00,281.00,187.00,246.00,125.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 17:44:00,102.00,3307.00,1894.00,600.00,281.00,185.00,244.00,127.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 18:44:00,100.00,3245.00,1859.00,577.00,278.00,186.00,229.00,132.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 19:44:00,102.00,3199.00,1826.00,559.00,272.00,179.00,222.00,132.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 20:44:00,100.00,3189.00,1819.00,555.00,272.00,178.00,213.00,136.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 21:45:00,105.00,3248.00,1855.00,561.00,277.00,179.00,217.00,138.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2020 22:45:00,99.00,3245.00,1837.00,561.00,279.00,180.00,212.00,137.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2020 23:45:00,100.00,3225.00,1837.00,564.00,271.00,181.00,215.00,133.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 00:45:00,100.00,3233.00,1823.00,564.00,270.00,179.00,219.00,131.00,61.00,APPROVED
CA: SAN DIEGO,01/03/2020 01:46:00,102.00,3238.00,1825.00,564.00,272.00,179.00,219.00,130.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 02:46:00,100.00,3249.00,1849.00,572.00,273.00,182.00,222.00,130.00,65.00,APPROVED
CA: SAN DIEGO,01/03/2020 03:46:00,103.00,3266.00,1870.00,578.00,280.00,184.00,228.00,130.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 04:46:00,99.00,3276.00,1874.00,579.00,277.00,189.00,230.00,128.00,64.00,APPROVED
CA: SAN DIEGO,01/03/2020 05:46:00,102.00,3304.00,1890.00,588.00,278.00,185.00,233.00,131.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 06:47:00,101.00,3314.00,1887.00,584.00,279.00,183.00,232.00,132.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 07:47:00,101.00,3304.00,1879.00,593.00,282.00,186.00,241.00,126.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 08:47:00,100.00,3305.00,1868.00,585.00,278.00,185.00,234.00,126.00,65.00,APPROVED
CA: SAN DIEGO,01/03/2020 09:47:00,100.00,3275.00,1844.00,581.00,270.00,182.00,231.00,127.00,64.00,APPROVED
CA: SAN DIEGO,01/03/2020 10:48:00,102.00,3288.00,1871.00,580.00,278.00,181.00,232.00,125.00,63.00,APPROVED
CA: SAN DIEGO,01/03/2020 11:48:00,99.00,3264.00,1847.00,579.00,271.00,181.00,234.00,125.00,64.00,APPROVED
CA: SAN DIEGO,01/03/2020 12:48:00,102.00,3256.00,1840.00,576.00,272.00,181.00,230.00,122.00,62.00,APPROVED
CA: SAN DIEGO,01/03/2020 13:48:00,103.00,3256.00,1835.00,580.00,267.00,185.00,231.00,125.00,62.00,APPROVED
